benchmark,dataset_key,agent,agent_display,input_usd_per_1m_tokens,output_usd_per_1m_tokens,price_source
SWE-bench Verified,sweverify,20250929_mini-v1.13.3_sonnet-4-5-20250929,Claude-Sonnet-4.5,,,
SWE-bench Verified,sweverify,20251201_mini-v1.17.1_deepseek-v3.2-reasoner,DeepSeek-V3.2,,,
SWE-bench Verified,sweverify,20251209_mini-v1.17.2_devstral-2512,Devstral-Large,,,
SWE-bench Verified,sweverify,20251209_mini-v1.17.2_devstral-small-2512,Devstral-Small,,,
SWE-bench Verified,sweverify,20250822_mini-v1.9.1_glm-4.5,GLM-4.5,,,
SWE-bench Verified,sweverify,20251201_mini-v1.17.1_glm-4.6,GLM-4.6,,,
SWE-bench Verified,sweverify,20250807_mini-v1.7.0_gpt-5,GPT-5,,,
SWE-bench Verified,sweverify,20250807_mini-v1.7.0_gpt-5-mini,GPT-5-Mini,,,
SWE-bench Verified,sweverify,20250807_mini-v1.7.0_gpt-5-nano,GPT-5-Nano,,,
SWE-bench Verified,sweverify,20251120_mini-v1.15.0_gpt-5.1-2025-11-13,GPT-5.1,,,
SWE-bench Verified,sweverify,20251124_mini-v1.16.0_gpt-5.1-codex,GPT-5.1-Codex,,,
SWE-bench Verified,sweverify,20251211_mini-v1.17.2_gpt-5.2-2025-12-11,GPT-5.2,,,
SWE-bench Verified,sweverify,20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,GPT-5.2-High,,,
SWE-bench Verified,sweverify,20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,Gemini-3-Pro,,,
SWE-bench Verified,sweverify,20251210_mini-v1.17.2_kimi-k2-thinking,Kimi-K2-Thinking,,,
SWE-bench Verified,sweverify,20251124_mini-v1.17.0_minimax-m2,MiniMax-M2,,,
TerminalBench,terminalbench,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8 (together_ai),,,
TerminalBench,terminalbench,accounts/fireworks/models/glm-4p6@fireworks_ai,accounts/fireworks/models/glm-4p6 (fireworks_ai),,,
TerminalBench,terminalbench,accounts/fireworks/models/minimax-m2@fireworks_ai,accounts/fireworks/models/minimax-m2 (fireworks_ai),,,
TerminalBench,terminalbench,claude-haiku-4-5-20251001@anthropic,claude-haiku-4-5-20251001 (anthropic),,,
TerminalBench,terminalbench,claude-opus-4-1-20250805@anthropic,claude-opus-4-1-20250805 (anthropic),,,
TerminalBench,terminalbench,claude-opus-4-5-20251101@anthropic,claude-opus-4-5-20251101 (anthropic),,,
TerminalBench,terminalbench,claude-opus-4-6@anthropic,claude-opus-4-6 (anthropic),,,
TerminalBench,terminalbench,claude-opus-4.6@anthropic,claude-opus-4.6 (anthropic),,,
TerminalBench,terminalbench,claude-sonnet-4-5-20250929@anthropic,claude-sonnet-4-5-20250929 (anthropic),,,
TerminalBench,terminalbench,deepseek-v3.2@deepseek,deepseek-v3.2 (deepseek),,,
TerminalBench,terminalbench,gemini-2.5-flash@gemini,gemini-2.5-flash (gemini),,,
TerminalBench,terminalbench,gemini-2.5-pro@gemini,gemini-2.5-pro (gemini),,,
TerminalBench,terminalbench,gemini-3-flash-preview@gemini,gemini-3-flash-preview (gemini),,,
TerminalBench,terminalbench,gemini-3-pro-preview@gemini,gemini-3-pro-preview (gemini),,,
TerminalBench,terminalbench,gemini-3.1-pro-preview@Google,gemini-3.1-pro-preview (Google),,,
TerminalBench,terminalbench,glm-5@z-ai,glm-5 (z-ai),,,
TerminalBench,terminalbench,gpt-5@openai,gpt-5 (openai),,,
TerminalBench,terminalbench,gpt-5-codex@openai,gpt-5-codex (openai),,,
TerminalBench,terminalbench,gpt-5-mini@openai,gpt-5-mini (openai),,,
TerminalBench,terminalbench,gpt-5-nano@openai,gpt-5-nano (openai),,,
TerminalBench,terminalbench,gpt-5.1@openai,gpt-5.1 (openai),,,
TerminalBench,terminalbench,gpt-5.1-codex@openai,gpt-5.1-codex (openai),,,
TerminalBench,terminalbench,gpt-5.2@openai,gpt-5.2 (openai),,,
TerminalBench,terminalbench,gpt-5.2-codex@openai,gpt-5.2-codex (openai),,,
TerminalBench,terminalbench,grok-4-0709@xai,grok-4-0709 (xai),,,
TerminalBench,terminalbench,grok-code-fast-1@xai,grok-code-fast-1 (xai),,,
TerminalBench,terminalbench,minimax-m2.1@minimax,minimax-m2.1 (minimax),,,
TerminalBench,terminalbench,minimax-m2.1@openai,minimax-m2.1 (openai),,,
TerminalBench,terminalbench,minimax-m2.5@Minimax,minimax-m2.5 (Minimax),,,
TerminalBench,terminalbench,moonshotai/Kimi-K2-Instruct-0905@together_ai,moonshotai/Kimi-K2-Instruct-0905 (together_ai),,,
TerminalBench,terminalbench,moonshotai/Kimi-K2-Thinking@together_ai,moonshotai/Kimi-K2-Thinking (together_ai),,,
TerminalBench,terminalbench,openai/gpt-oss-120b@together_ai,openai/gpt-oss-120b (together_ai),,,
TerminalBench,terminalbench,openai/gpt-oss-20b@together_ai,openai/gpt-oss-20b (together_ai),,,
Toolathlon,toolathlon,claude-4-sonnet-0514,claude-4-sonnet-0514,,,
Toolathlon,toolathlon,claude-4.5-haiku-1001,claude-4.5-haiku-1001,,,
Toolathlon,toolathlon,claude-4.5-opus,claude-4.5-opus,,,
Toolathlon,toolathlon,claude-4.5-sonnet-0929,claude-4.5-sonnet-0929,,,
Toolathlon,toolathlon,deepseek-3.2-thinking,deepseek-3.2-thinking,,,
Toolathlon,toolathlon,deepseek-v3.2-exp,deepseek-v3.2-exp,,,
Toolathlon,toolathlon,gemini-2.5-flash,gemini-2.5-flash,,,
Toolathlon,toolathlon,gemini-2.5-pro,gemini-2.5-pro,,,
Toolathlon,toolathlon,gemini-3-pro-preview,gemini-3-pro-preview,,,
Toolathlon,toolathlon,glm-4.6,glm-4.6,,,
Toolathlon,toolathlon,gpt-5,gpt-5,,,
Toolathlon,toolathlon,gpt-5-high,gpt-5-high,,,
Toolathlon,toolathlon,gpt-5-mini,gpt-5-mini,,,
Toolathlon,toolathlon,gpt-5.1,gpt-5.1,,,
Toolathlon,toolathlon,grok-4,grok-4,,,
Toolathlon,toolathlon,grok-4-fast,grok-4-fast,,,
Toolathlon,toolathlon,grok-code-fast-1,grok-code-fast-1,,,
Toolathlon,toolathlon,kimi-k2-0905,kimi-k2-0905,,,
Toolathlon,toolathlon,minimax-m2,minimax-m2,,,
Toolathlon,toolathlon,o3,o3,,,
Toolathlon,toolathlon,o4-mini,o4-mini,,,
Toolathlon,toolathlon,qwen-3-coder,qwen-3-coder,,,
