benchmark,dataset_key,preset,threshold,policy_mode,agent,agent_display,original_total,original_resolved,original_resolve_rate_pct,adjusted_resolved,adjusted_resolve_rate_pct,resolve_change_pp,false_negatives,true_negatives,false_positives,true_positives,decided_failure,decided_success,undecided,n_decided,coverage_pct,decision_accuracy_pct,precision_resolved,recall_resolved,f1_resolved,total_saved_steps,total_steps,global_step_save_pct,original_rank,adjusted_rank,rank_change_positive_is_up,saved_input_tokens_est,saved_output_tokens_est,baseline_input_tokens_est,baseline_output_tokens_est,input_token_save_pct_est,output_token_save_pct_est
SWE-bench Verified,sweverify,locked095,0.95,dual,20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,Gemini-3-Pro,489,361,73.8241,354,72.3926,-1.4315,8,77,1,103,85,104,300,189,38.6503,95.2381,99.0385,92.7928,95.814,4816,20275,23.7534,1,1,0,115427246.0,970227.0,368376195.0,4176482.0,31.3341,23.2307
SWE-bench Verified,sweverify,locked095,0.95,dual,20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,GPT-5.2-High,487,347,71.2526,345,70.8419,-0.4107,2,50,0,75,52,75,360,127,26.078,98.4252,100.0,97.4026,98.6842,1493,10183,14.6617,2,2,0,55622701.0,595340.0,208881994.0,3074705.0,26.6288,19.3625
SWE-bench Verified,sweverify,locked095,0.95,dual,20250929_mini-v1.13.3_sonnet-4-5-20250929,Claude-Sonnet-4.5,488,342,70.082,341,69.877,-0.2049,1,57,0,47,58,47,383,105,21.5164,99.0476,100.0,97.9167,98.9474,4105,25360,16.1869,3,3,0,100522749.0,1486552.0,562346940.0,8439351.0,17.8756,17.6145
SWE-bench Verified,sweverify,locked095,0.95,dual,20251211_mini-v1.17.2_gpt-5.2-2025-12-11,GPT-5.2,488,334,68.4426,337,69.0574,0.6148,1,40,4,85,41,89,358,130,26.6393,96.1538,95.5056,98.8372,97.1429,900,8486,10.6057,4,4,0,28925851.0,383021.0,143322469.0,2675554.0,20.1824,14.3156
SWE-bench Verified,sweverify,locked095,0.95,dual,20251124_mini-v1.16.0_gpt-5.1-codex,GPT-5.1-Codex,489,321,65.6442,320,65.4397,-0.2045,2,59,1,93,61,94,334,155,31.6973,98.0645,98.9362,97.8947,98.4127,2416,12228,19.7579,5,6,-1,85644388.0,456011.0,280829612.0,1998022.0,30.4969,22.8231
SWE-bench Verified,sweverify,locked095,0.95,dual,20251120_mini-v1.15.0_gpt-5.1-2025-11-13,GPT-5.1,489,320,65.4397,325,66.4622,1.0225,0,51,5,116,51,121,317,172,35.1738,97.093,95.8678,100.0,97.8903,1662,10750,15.4605,6,5,1,83731893.0,861574.0,348262307.0,3812980.0,24.0428,22.5958
SWE-bench Verified,sweverify,locked095,0.95,dual,20250807_mini-v1.7.0_gpt-5,GPT-5,489,317,64.8262,319,65.2352,0.409,0,65,2,44,65,46,378,111,22.6994,98.1982,95.6522,100.0,97.7778,683,6983,9.7809,7,7,0,29052099.0,408699.0,143619746.0,2616202.0,20.2285,15.6218
SWE-bench Verified,sweverify,locked095,0.95,dual,20251210_mini-v1.17.2_kimi-k2-thinking,Kimi-K2-Thinking,488,307,62.9098,309,63.3197,0.4098,1,68,3,131,69,134,285,203,41.5984,98.0296,97.7612,99.2424,98.4962,6327,23491,26.9337,8,8,0,203551696.0,1610626.0,604611573.0,5698098.0,33.6665,28.266
SWE-bench Verified,sweverify,locked095,0.95,dual,20251201_mini-v1.17.1_deepseek-v3.2-reasoner,DeepSeek-V3.2,482,292,60.5809,291,60.3734,-0.2075,5,89,4,118,94,122,266,216,44.8133,95.8333,96.7213,95.935,96.3265,7195,22740,31.6403,9,9,0,214186010.0,2388085.0,486735528.0,6541392.0,44.0046,36.5073
SWE-bench Verified,sweverify,locked095,0.95,dual,20251124_mini-v1.17.0_minimax-m2,MiniMax-M2,488,294,60.2459,293,60.041,-0.2049,6,73,5,111,79,116,293,195,39.959,94.359,95.6897,94.8718,95.279,10402,36938,28.1607,10,10,0,426900313.0,2932554.0,1262051027.0,9874808.0,33.8259,29.6973
